title_num,title_opt,url,imgUrl,year,artist,material,scale,title
29,기하학적-칼-드로잉,http://gmoma.ggcf.kr/archives/artwork/%EA%B8%B0%ED%95%98%ED%95%99%EC%A0%81-%EC%B9%BC-%EB%93%9C%EB%A1%9C%EC%9E%89,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2Fj23uYUs3gOs%2BFV9iKX4p9Ok76HKjo5xdEsU9c5T98VA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 조병왕/Cho Byungwang","<strong class="theme-key-color">재질/</strong> 초 광택 칼라 사진 유제면 위에 나이핑 / Knifing on Photo","<strong class="theme-key-color">규격/</strong> 140x100cm","기하학적 칼 드로잉 02-03-07 / Geometric Knife Drawing 02-03-07"
30,엠파이어-스테이트,http://gmoma.ggcf.kr/archives/artwork/%EC%97%A0%ED%8C%8C%EC%9D%B4%EC%96%B4-%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%8A%B8,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m85gLIM00y8IKEVU5t%2FyzGWM02Mh8nDbyjy7ZIhIOJ4Og%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 임상빈/Im Sang bin","<strong class="theme-key-color">재질/</strong> 람다 프린트 디아섹/Iambda print/diasec","<strong class="theme-key-color">규격/</strong> 152.5*101.3","엠파이어 스테이트/Empire State"
31,레이어,http://gmoma.ggcf.kr/archives/artwork/%EB%A0%88%EC%9D%B4%EC%96%B4,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8Hjkncrl9n%2FB%2B5FTABSohplq7f%2B8bj3u1jzbPt1d%2FCfQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 한성필 / Han Sungpil","<strong class="theme-key-color">재질/</strong> C타입 라이트 젯 프린트 / C-type Light-jet Print","<strong class="theme-key-color">규격/</strong> 117x147cm","레이어 /  Layers"
32,역구내-식당,http://gmoma.ggcf.kr/archives/artwork/%EC%97%AD%EA%B5%AC%EB%82%B4-%EC%8B%9D%EB%8B%B9,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8I9%2BkHzZP58EOpr6GoLPy8aPbyP0pR6ynM9%2FU3SCb1Hw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2003","<strong class="theme-key-color">작가(출처)/</strong> 오우암/O U Am","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 72.7*90.9cm","역구내 식당/The dinner at the station"
33,상처난-풍경-임진강-30부작,http://gmoma.ggcf.kr/archives/artwork/%EC%83%81%EC%B2%98%EB%82%9C-%ED%92%8D%EA%B2%BD-%EC%9E%84%EC%A7%84%EA%B0%95-30%EB%B6%80%EC%9E%91,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BWKW9CZCQfsUNhpSYsdONOUJUOeMW2WNCWM31eZY8Jyg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 김혜련/Kim Heryun","<strong class="theme-key-color">재질/</strong> 캔버스에 유채 / Oil on Canvas","<strong class="theme-key-color">규격/</strong> 각 38×36cm","상처난 풍경 (임진강 30부작) / Injured Landscape (Imjingang River 30 Series)"
34,빛과-속도의-풍경,http://gmoma.ggcf.kr/archives/artwork/%EB%B9%9B%EA%B3%BC-%EC%86%8D%EB%8F%84%EC%9D%98-%ED%92%8D%EA%B2%BD,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8EHBH0YJ4mVvlWM2LHOslBDKXNFrc%2BS0OoPtNGys2RLQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2001","<strong class="theme-key-color">작가(출처)/</strong> 정세라/ Jeong Se Ra","<strong class="theme-key-color">재질/</strong> 캔버스에 유채 / Oil on Canvas","<strong class="theme-key-color">규격/</strong> 116.7x35cm, 116.7x80cm, 116.7x50cm, 116.7x70cm, 11","빛과 속도의 풍경/ Landscape of LightSpeed"
35,아버지와-아들,http://gmoma.ggcf.kr/archives/artwork/%EC%95%84%EB%B2%84%EC%A7%80%EC%99%80-%EC%95%84%EB%93%A4,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m918HD7UOt%2FaZxTxZoryPNOMXaNwvYqC%2B%2FHtTm4q6DyYQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 김보중/Kim Bo Joong","<strong class="theme-key-color">재질/</strong> 캔버스에 사진, 유채/Photographoil on canvas","<strong class="theme-key-color">규격/</strong> 146*97cm","아버지와 아들/Father Son"
36,still-life-두개의-공,http://gmoma.ggcf.kr/archives/artwork/still-life-%EB%91%90%EA%B0%9C%EC%9D%98-%EA%B3%B5,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BONbrCHt4AwNLcKD8o5jriS66mImpL%2B8tNxEeTui7NTA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 유현미/Yoo Hyun Mi","<strong class="theme-key-color">재질/</strong> C프린트 / C-print","<strong class="theme-key-color">규격/</strong> 150*120","Still Life-두개의 공/Still Life-Two balls"
37,무제-7-the-resurrection,http://gmoma.ggcf.kr/archives/artwork/%EB%AC%B4%EC%A0%9C-7-the-resurrection,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9Y%2B3giVi%2BWCZ%2FytHPJcH7WZ3sNlRQbzSygIx1%2BHnsMTw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2004","<strong class="theme-key-color">작가(출처)/</strong> 박형근/Park Hyung Geun","<strong class="theme-key-color">재질/</strong> C타입 라이트 젯 프린트 /C-type Light-jet Print","<strong class="theme-key-color">규격/</strong> 100x125cm","무제 # 7 – The Resurrection / Untitled # 7 – The Resurrection"
38,바디시리즈1,http://gmoma.ggcf.kr/archives/artwork/%EB%B0%94%EB%94%94%EC%8B%9C%EB%A6%AC%EC%A6%881,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8g72rSqZljLJe%2BfMZIpSr3v584akQk2BJygMJwtZSxBA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2000","<strong class="theme-key-color">작가(출처)/</strong> 민병헌/Min Byung Hun","<strong class="theme-key-color">재질/</strong> 젤라틴 실버 프린트/gelatin silver print","<strong class="theme-key-color">규격/</strong> 105*100cm","바디시리즈1/Body Series 1"
39,노고산,http://gmoma.ggcf.kr/archives/artwork/%EB%85%B8%EA%B3%A0%EC%82%B0,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8PM6ST5LBK7m%2FH3xDX94tSX8pMzsp2jpVR%2Bvi3ElKaGw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 1995","<strong class="theme-key-color">작가(출처)/</strong> 민정기/Min Jung Ki","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 80*171cm","노고산/Mt. Nogo"
40,여정,http://gmoma.ggcf.kr/archives/artwork/%EC%97%AC%EC%A0%95,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9WonjNq4vlN0kwL%2BxTaD5OGz2g%2Fvn2Lh%2FjrnXkkyCxYg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 김희자/Kim Whei Za","<strong class="theme-key-color">재질/</strong> 나무에 아크릴, 플라스틱 거울 / Acrylic on natural wood, Plastic mirror","<strong class="theme-key-color">규격/</strong> 66*243","여정/Journey"
41,tomorrow-자매의-전쟁,http://gmoma.ggcf.kr/archives/artwork/tomorrow-%EC%9E%90%EB%A7%A4%EC%9D%98-%EC%A0%84%EC%9F%81,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m90DZt7pTeEouPBsYABaA6f68PXKoRgYgXXWEkNyMbdmw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 원성원/Won Seoung Won","<strong class="theme-key-color">재질/</strong> C 프린트/c-print","<strong class="theme-key-color">규격/</strong> 120*201","Tomorrow-자매의 전쟁/Tomorrow-War of Sisters"
42,붐붐,http://gmoma.ggcf.kr/archives/artwork/%EB%B6%90%EB%B6%90,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BQRGgynUpJ4MegRJNyoD3LC2Ss4mzpV4FrGM3Zf2L8Kw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 박대조/Park Dae Cho","<strong class="theme-key-color">재질/</strong> 투명프린트, 라이트박스/Transparency print, Light box","<strong class="theme-key-color">규격/</strong> 120*14.5*5","붐붐/Boom Boom"
43,휴대용풍경-n-18,http://gmoma.ggcf.kr/archives/artwork/%ED%9C%B4%EB%8C%80%EC%9A%A9%ED%92%8D%EA%B2%BD-n-18,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2Br4c4EVZdsy823y%2BuXIk%2BQLCoUDGo0oVVOjWZi%2B242Pw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2007","<strong class="theme-key-color">작가(출처)/</strong> 이민호/Lee Min Ho","<strong class="theme-key-color">재질/</strong> 디지털 라이트젯 프린트/ digital lightjet print","<strong class="theme-key-color">규격/</strong> 100*150","휴대용풍경 n.18/Portable Landscape n.18"
44,조선역사명상열전_안압지도,http://gmoma.ggcf.kr/archives/artwork/%EC%A1%B0%EC%84%A0%EC%97%AD%EC%82%AC%EB%AA%85%EC%83%81%EC%97%B4%EC%A0%84_%EC%95%88%EC%95%95%EC%A7%80%EB%8F%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8ZFSZCgNcOnQLsyEExsmkgkjl9Vgysujx3X9OEI67%2BSQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 이상현/Lee Sang Hyun","<strong class="theme-key-color">재질/</strong> Digital print","<strong class="theme-key-color">규격/</strong> 110*180cm","조선역사명상열전_안압지도/Self Meditated Portrait of Korean Historical Epic"
45,전사들,http://gmoma.ggcf.kr/archives/artwork/%EC%A0%84%EC%82%AC%EB%93%A4,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2F9K4fbRNxXNm7e0VoR79PFg1y80BwGIqtVqPylkENF7w%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 이강우/ Lee Gang Woo","<strong class="theme-key-color">재질/</strong> c-print","<strong class="theme-key-color">규격/</strong> 122*153.3cm","전사들/Soldiers of light"
46,구도,http://gmoma.ggcf.kr/archives/artwork/%EA%B5%AC%EB%8F%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BkvE8nk9RUkJvBC4BtZIw7ANwBl37YXSdDfWefrX4TCw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 1982","<strong class="theme-key-color">작가(출처)/</strong> 안성금/Ahn Sung Keum","<strong class="theme-key-color">재질/</strong> 광목에 먹 / Chinese Ink on Cotton Cloth","<strong class="theme-key-color">규격/</strong> 120×226cm","구도(求道) / Devotion"
47,두-개의-얼굴-이중섭,http://gmoma.ggcf.kr/archives/artwork/%EB%91%90-%EA%B0%9C%EC%9D%98-%EC%96%BC%EA%B5%B4-%EC%9D%B4%EC%A4%91%EC%84%AD,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9qtjrOVuLcIZZ%2B%2BPOOBJhbkH8SdkB4%2FVMgsoojKezAhQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 김동유/Kim Dong Yoo","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 130.3*162.2","두 개의 얼굴-이중섭/Two Faces -Lee Jung-Seop"
48,먹을것들-혹은-먹힐것들,http://gmoma.ggcf.kr/archives/artwork/%EB%A8%B9%EC%9D%84%EA%B2%83%EB%93%A4-%ED%98%B9%EC%9D%80-%EB%A8%B9%ED%9E%90%EA%B2%83%EB%93%A4,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8mqSC7MTj669iYrYkUebSG3rXBNC9XG03AkaUzqA7Jhg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 유근택/Yoo Geun Taek","<strong class="theme-key-color">재질/</strong> 종이에 수묵 채색/Color Indian ink on paper","<strong class="theme-key-color">규격/</strong> 464*187cm","먹을것들, 혹은 먹힐것들/Things to eatto be eaten"
49,사라지다,http://gmoma.ggcf.kr/archives/artwork/%EC%82%AC%EB%9D%BC%EC%A7%80%EB%8B%A4,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9%2FfAB3b6kFvL48VptyauP%2B9XdF06G825TPZ48AE4r0rA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 정보영/Jeong Bo Young","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 162*227.3cm","사라지다/Vanishing"
50,옮겨진-산수-유람기2,http://gmoma.ggcf.kr/archives/artwork/%EC%98%AE%EA%B2%A8%EC%A7%84-%EC%82%B0%EC%88%98-%EC%9C%A0%EB%9E%8C%EA%B8%B02,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8UlCfoZwtzNPqnwkv2weV9OptDk7JHLukTxLstRX6Jfg%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 임택 / Lim Taek","<strong class="theme-key-color">재질/</strong> 디지털 합성 사진 / Digital Composite Photograph","<strong class="theme-key-color">규격/</strong> 165.3x110cm","옮겨진 산수 – 유람기2 / Moved Landscape – Journey 2"
51,바나나-카페,http://gmoma.ggcf.kr/archives/artwork/%EB%B0%94%EB%82%98%EB%82%98-%EC%B9%B4%ED%8E%98,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2Ft4Pn5QtNpASf0YbNX3jagrjstB5quOADqgVnm7ML0gw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 1993","<strong class="theme-key-color">작가(출처)/</strong> 이흥덕/Lee Heung Duk","<strong class="theme-key-color">재질/</strong> 캔버스에 유채/Oil on canvas","<strong class="theme-key-color">규격/</strong> 194*259cm","바나나 카페/The Banana Caf&amp;eacute"
52,포도,http://gmoma.ggcf.kr/archives/artwork/%ED%8F%AC%EB%8F%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2FSvn7stg%2FBDArDKmvDyG3LxlR99NUhNcIObwRv66V2Sw%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 김종학/Kim Jong Hak","<strong class="theme-key-color">재질/</strong> 판넬에 혼합재료/Mixed media on panel","<strong class="theme-key-color">규격/</strong> 170*124cm","포도/Grapes"
53,루머건_환각적-비행,http://gmoma.ggcf.kr/archives/artwork/%EB%A3%A8%EB%A8%B8%EA%B1%B4_%ED%99%98%EA%B0%81%EC%A0%81-%EB%B9%84%ED%96%89,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m%2BlVYCAubqHR5hotXAkvGxFf0H182xZuGHM0%2B4cfkb3WA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 양아치/Yangachi","<strong class="theme-key-color">재질/</strong> 사진/Photography","<strong class="theme-key-color">규격/</strong> 170*130","루머건_환각적 비행/Rumor gun_Hypnotic flight"
54,tourist,http://gmoma.ggcf.kr/archives/artwork/tourist,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8P1bgzg0Rmzt4ZERYpkypnTZ1He4wc99XnfChgUa1q2w%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2006","<strong class="theme-key-color">작가(출처)/</strong> 홍성도/Hong Sung Do","<strong class="theme-key-color">재질/</strong> 플랙시 글라스, 알루미늄, 사진/Plexiglass, Aluminum, Photo","<strong class="theme-key-color">규격/</strong> 120×180cm","Tourist"
55,부뚜막꽃연작,http://gmoma.ggcf.kr/archives/artwork/%EB%B6%80%EB%9A%9C%EB%A7%89%EA%BD%83%EC%97%B0%EC%9E%91,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m83xaB08WuIjrrrU6Fh%2B3cSD1yxm%2Fe99JCuSq1T%2BvXzZQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 방명주/Bang Myung Joo","<strong class="theme-key-color">재질/</strong> Smooth fineart paper, inkjet print","<strong class="theme-key-color">규격/</strong> 110*131cm","부뚜막꽃(연작)/Rice in Blossom (series)"
56,3초점의-시선1,http://gmoma.ggcf.kr/archives/artwork/3%EC%B4%88%EC%A0%90%EC%9D%98-%EC%8B%9C%EC%84%A01,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m84UY5jH7KETu2sfIEUEUtfdVeBzh7pSm10znNVE2WL1w%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2008","<strong class="theme-key-color">작가(출처)/</strong> 임선이/Im Sun ly","<strong class="theme-key-color">재질/</strong> 라이트젯 프린트/Lightjet print","<strong class="theme-key-color">규격/</strong> 176*220","3초점의 시선1/Trifocal sight 1"
57,진판지군환호도,http://gmoma.ggcf.kr/archives/artwork/%EC%A7%84%ED%8C%90%EC%A7%80%EA%B5%B0%ED%99%98%ED%98%B8%EB%8F%84,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m8A0zCSjkwZejvgk%2F9FwxVTGZp%2FK4cL2ZhSwUJojJELGA%3D%3D","<strong class="theme-key-color">제작연도/</strong> 1994","<strong class="theme-key-color">작가(출처)/</strong> 장우성/Chang Woo Seong","<strong class="theme-key-color">재질/</strong> 한지에 수묵담채/Indian ink wash drawing on Korean paper","<strong class="theme-key-color">규격/</strong> 143*113cm","진판지군환호도/A shouting chimpanzee"
58,순수형태-심경心輕,http://gmoma.ggcf.kr/archives/artwork/%EC%88%9C%EC%88%98%ED%98%95%ED%83%9C-%EC%8B%AC%EA%B2%BD%E5%BF%83%E8%BC%95,"http://gmoma.ggcf.kr/wp-content/plugins/CL230KO-artwork/watermark.php?w=3&m=PREjcuIz%2BvyXDCSwnhpZsZnwCQjUF%2FI0p4yTDDuh4m9ndKD%2B1WDovN60AJ29zi4h9r7OMjKYWF07I2A%2BLU80IQ%3D%3D","<strong class="theme-key-color">제작연도/</strong> 2005","<strong class="theme-key-color">작가(출처)/</strong> 강운 / Kang Un","<strong class="theme-key-color">재질/</strong> 캔버스에 유채 / Oil on Canvas","<strong class="theme-key-color">규격/</strong> 218.2x333.3cm","순수형태 – 심경(心輕) / Pure Form – Lightness of Mind"
